date,f
2019-10-02,-0.22026957142857143
2019-10-03,-0.22324114285714286
2019-10-04,-0.2262127142857143
2019-10-05,-0.2291842857142857
2019-10-06,-0.23215585714285714
2019-10-07,-0.23512742857142857
2019-10-08,-0.238099
2019-10-09,-0.23983757142857143
2019-10-10,-0.24157614285714285
2019-10-11,-0.24331471428571427
2019-10-12,-0.2450532857142857
2019-10-13,-0.24679185714285712
2019-10-14,-0.24853042857142854
2019-10-15,-0.25026899999999996
2019-10-16,-0.2513727857142857
2019-10-17,-0.25247657142857144
2019-10-18,-0.25358035714285715
2019-10-19,-0.25468414285714286
2019-10-20,-0.25578792857142857
2019-10-21,-0.25689171428571433
2019-10-22,-0.25799550000000004
2019-10-23,-0.2589669285714286
2019-10-24,-0.2599383571428572
2019-10-25,-0.26090978571428575
2019-10-26,-0.26188121428571426
2019-10-27,-0.2628526428571428
2019-10-28,-0.2638240714285714
2019-10-29,-0.26479549999999996
2019-10-30,-0.2624727142857143
2019-10-31,-0.26014992857142855
2019-11-01,-0.2578271428571428
2019-11-02,-0.25550435714285713
2019-11-03,-0.25318157142857145
2019-11-04,-0.2508587857142857
2019-11-05,-0.248536
2019-11-06,-0.24717771428571428
2019-11-07,-0.24581942857142858
2019-11-08,-0.24446114285714285
2019-11-09,-0.24310285714285715
2019-11-10,-0.24174457142857142
2019-11-11,-0.24038628571428572
2019-11-12,-0.239028
2019-11-13,-0.23734342857142857
2019-11-14,-0.23565885714285714
2019-11-15,-0.23397428571428572
2019-11-16,-0.23228971428571427
2019-11-17,-0.23060514285714284
2019-11-18,-0.22892057142857142
2019-11-19,-0.227236
2019-11-20,-0.22498192857142857
2019-11-21,-0.22272785714285714
2019-11-22,-0.22047378571428572
2019-11-23,-0.21821971428571427
2019-11-24,-0.21596564285714284
2019-11-25,-0.21371157142857142
2019-11-26,-0.2114575
2019-11-27,-0.21114514285714284
2019-11-28,-0.2108327857142857
2019-11-29,-0.21052042857142855
2019-11-30,-0.21020807142857142
2019-12-01,-0.20989571428571427
2019-12-02,-0.20958335714285714
2019-12-03,-0.20927099999999998
2019-12-04,-0.20806664285714285
2019-12-05,-0.2068622857142857
2019-12-06,-0.20565792857142856
2019-12-07,-0.20445357142857143
2019-12-08,-0.2032492142857143
2019-12-09,-0.20204485714285714
2019-12-10,-0.2008405
2019-12-11,-0.20035207142857142
2019-12-12,-0.19986364285714286
2019-12-13,-0.19937521428571428
2019-12-14,-0.19888678571428572
2019-12-15,-0.19839835714285714
2019-12-16,-0.19790992857142858
2019-12-17,-0.1974215
2019-12-18,-0.1965252857142857
2019-12-19,-0.19562907142857142
2019-12-20,-0.19473285714285712
2019-12-21,-0.19383664285714286
2019-12-22,-0.19294042857142857
2019-12-23,-0.19204421428571428
2019-12-24,-0.19114799999999998
2019-12-25,-0.18964499999999998
2019-12-26,-0.18814199999999998
2019-12-27,-0.18663899999999997
2019-12-28,-0.185136
2019-12-29,-0.183633
2019-12-30,-0.18213
2019-12-31,-0.18062699999999998
2020-01-01,-0.1782510714285714
2020-01-02,-0.17587514285714284
2020-01-03,-0.17349921428571427
2020-01-04,-0.1711232857142857
2020-01-05,-0.16874735714285713
