year,state,dem_votes,gop_votes,ind_votes,source
1968,Maryland,"538,310","517,995","178,734",https://uselectionatlas.org/RESULTS/
1968,Massachusetts,"1,469,218","766,844","95,690",https://uselectionatlas.org/RESULTS/
1968,Michigan,"1,593,082","1,370,665","342,503",https://uselectionatlas.org/RESULTS/
1968,Minnesota,"857,738","658,643","72,129",https://uselectionatlas.org/RESULTS/
1968,Mississippi,"150,644","88,516","415,349",https://uselectionatlas.org/RESULTS/
1968,Missouri,"791,444","811,932","206,126",https://uselectionatlas.org/RESULTS/
1968,Montana,"114,117","138,835","21,452",https://uselectionatlas.org/RESULTS/
1968,Nebraska,"170,784","321,163","44,904",https://uselectionatlas.org/RESULTS/
1968,Nevada,"60,598","73,188","20,432",https://uselectionatlas.org/RESULTS/
1968,New Hampshire,"130,589","154,903","11,807",https://uselectionatlas.org/RESULTS/
1968,New Jersey,"1,264,206","1,325,467","285,722",https://uselectionatlas.org/RESULTS/
1968,New Mexico,"130,081","169,692","27,508",https://uselectionatlas.org/RESULTS/
1968,New York,"3,378,470","3,007,932","403,664",https://uselectionatlas.org/RESULTS/
1968,North Carolina,"464,113","627,192","496,188",https://uselectionatlas.org/RESULTS/
1968,North Dakota,"94,769","138,669","14,444",https://uselectionatlas.org/RESULTS/
1968,Ohio,"1,700,586","1,791,014","468,098",https://uselectionatlas.org/RESULTS/
1968,Oklahoma,"301,658","449,697","191,731",https://uselectionatlas.org/RESULTS/
1968,Oregon,"358,866","408,433","52,323",https://uselectionatlas.org/RESULTS/
1968,Pennsylvania,"2,259,405","2,090,017","398,506",https://uselectionatlas.org/RESULTS/
1968,Rhode Island,"246,518","122,359","16,123",https://uselectionatlas.org/RESULTS/
1968,South Carolina,"197,486","254,062","215,434",https://uselectionatlas.org/RESULTS/
1968,South Dakota,"118,023","149,841","13,400",https://uselectionatlas.org/RESULTS/
1968,Tennessee,"351,233","472,592","424,792",https://uselectionatlas.org/RESULTS/
1968,Texas,"1,266,804","1,227,844","584,758",https://uselectionatlas.org/RESULTS/
1968,Utah,"156,665","238,728","27,175",https://uselectionatlas.org/RESULTS/
1968,Vermont,"70,255","85,142","6,007",https://uselectionatlas.org/RESULTS/
1968,Virginia,"442,387","590,319","328,785",https://uselectionatlas.org/RESULTS/
1968,Washington,"616,037","588,510","99,734",https://uselectionatlas.org/RESULTS/
1968,West Virginia,"374,091","307,555","72,560",https://uselectionatlas.org/RESULTS/
1968,Wisconsin,"748,804","809,997","132,737",https://uselectionatlas.org/RESULTS/
1968,Wyoming,"45,173","70,927","11,105",https://uselectionatlas.org/RESULTS/
1968,,"31,271,839","31,783,783","10,144,377",https://uselectionatlas.org/RESULTS/
1972,Alabama,"256,923","728,701","20,469",https://uselectionatlas.org/RESULTS/
1972,Alaska,"32,967","55,349","6,903",https://uselectionatlas.org/RESULTS/
1972,Arizona,"198,540","402,812","52,153",https://uselectionatlas.org/RESULTS/
1972,Arkansas,"198,899","445,751","3,016",https://uselectionatlas.org/RESULTS/
1972,California,"3,475,847","4,602,096","289,919",https://uselectionatlas.org/RESULTS/
1972,Colorado,"329,980","597,189","26,715",https://uselectionatlas.org/RESULTS/
1972,Connecticut,"555,498","810,763","18,016",https://uselectionatlas.org/RESULTS/
1972,Delaware,"92,283","140,357","2,876",https://uselectionatlas.org/RESULTS/
1972,District of Columbia,"127,627","35,226",568,https://uselectionatlas.org/RESULTS/
1972,Florida,"718,117","1,857,759","7,407",https://uselectionatlas.org/RESULTS/
1972,Georgia,"289,529","881,496","3,747",https://uselectionatlas.org/RESULTS/
1972,Hawaii,"101,409","168,865",0,https://uselectionatlas.org/RESULTS/
1972,Idaho,"80,826","199,384","30,169",https://uselectionatlas.org/RESULTS/
1972,Illinois,"1,913,472","2,788,179","21,585",https://uselectionatlas.org/RESULTS/
1972,Indiana,"708,568","1,405,154","11,807",https://uselectionatlas.org/RESULTS/
1972,Iowa,"496,206","706,207","23,531",https://uselectionatlas.org/RESULTS/
1972,Kansas,"270,287","619,812","25,996",https://uselectionatlas.org/RESULTS/
1972,Kentucky,"371,159","676,446","19,894",https://uselectionatlas.org/RESULTS/
1972,Louisiana,"298,142","686,852","66,497",https://uselectionatlas.org/RESULTS/
1972,Maine,"160,584","256,458",229,https://uselectionatlas.org/RESULTS/
1972,Maine CD-1,"85,028","135,338",100,https://www.ourcampaigns.com/RaceDetail.html?RaceID=749915
1972,Maine CD-2,"75,556","121,120",129,https://www.ourcampaigns.com/RaceDetail.html?RaceID=749916
1972,Maryland,"505,781","829,305","18,726",https://uselectionatlas.org/RESULTS/
1972,Massachusetts,"1,332,540","1,112,078","14,138",https://uselectionatlas.org/RESULTS/
1972,Michigan,"1,459,435","1,961,721","69,169",https://uselectionatlas.org/RESULTS/
1972,Minnesota,"802,346","898,269","41,037",https://uselectionatlas.org/RESULTS/
1972,Mississippi,"126,782","505,125","14,056",https://uselectionatlas.org/RESULTS/
1972,Missouri,"698,531","1,154,058",0,https://uselectionatlas.org/RESULTS/
1972,Montana,"120,197","183,976","13,430",https://uselectionatlas.org/RESULTS/
1972,Nebraska,"169,991","406,298",0,https://uselectionatlas.org/RESULTS/
1972,Nevada,"66,016","115,750",0,https://uselectionatlas.org/RESULTS/
1972,New Hampshire,"116,435","213,724","3,900",https://uselectionatlas.org/RESULTS/
1972,New Jersey,"1,102,211","1,845,502","49,516",https://uselectionatlas.org/RESULTS/
1972,New Mexico,"141,084","235,606","9,241",https://uselectionatlas.org/RESULTS/
1972,New York,"2,951,084","4,192,778","17,968",https://uselectionatlas.org/RESULTS/
1972,North Carolina,"438,705","1,054,889","25,018",https://uselectionatlas.org/RESULTS/
1972,North Dakota,"100,384","174,109","6,021",https://uselectionatlas.org/RESULTS/
1972,Ohio,"1,558,889","2,441,827","94,071",https://uselectionatlas.org/RESULTS/
1972,Oklahoma,"247,147","759,025","23,728",https://uselectionatlas.org/RESULTS/
